name,ticker,industry
Northern Star Acquisition,STIC,Unclassified
Neuronetics,STIM,Medical Instruments Manufacturing
SunOpta,STKL,Food Items - Miscellaneous/Diversified
ONE Group Hospitality,STKS,Retail - Food & Restaurants
Sterling Bancorp,STL,Banks - Northeast
Stellantis,STLA,Auto Manufacturers - Foreign
Steel Dynamics,STLD,Steel Producers
STMicroelectronics,STM,Semiconductor - General
Stamps,STMP,Internet Commerce
Stantec,STN,Consulting Services
StoneCo,STNE,Internet Software
Scorpio Tankers,STNG,Transportation - Shipping
Stoke Therapeutics,STOK,Medical - Biomedical and Genetics
StoneMor,STON,Consumer Products - Miscellaneous Staples
STORE Capital,STOR,REIT - Retail Equity Trusts
Star Peak Corp II,STPC,Unclassified
Star Peak Energy Transition,STPK,Electrical Machinery
Strategic Education,STRA,Schools
Sterling Construction Inc,STRL,Building - Heavy Construction
Streamline Health Solutions,STRM,Medical Information Systems
Sutro Biopharma,STRO,Medical - Biomedical and Genetics
Star Equity Holdings,STRR,Diversified Operations
Stratus Properties,STRS,Real Estate Operations
Strattec Security,STRT,Auto & Truck Original Equipment Manufacturers
SATSUMA PHARMA,STSA,Medical - Biomedical and Genetics
State Street,STT,Banks - Major Regional
Shattuck Labs,STTK,Medical - Biomedical and Genetics
"STARWOOD PROPERTY TRUST, INC",STWD,REIT - Mortgage Trusts
ACON S2 Acquisition,STWO,Unclassified
Seagate Technology,STX,Computer Storage Devices
Spirit Of Texas Bancshares,STXB,Banks - Southeast
Stereotaxis,STXS,Medical Instruments Manufacturing
Constellation Brands Inc,STZ,Alcoholic Beverages
Constellation Brands Inc,STZ.B,Alcoholic Beverages
Suncor Energy,SU,Oil & Gas - Canadian Integrated
Sun Communities,SUI,REIT - Residential Equity Trusts
Summit Materials,SUM,"Building - Cement, Concrete and Aggregates"
Sumo Logic,SUMO,Internet Software
Summer Infant,SUMR,Consumer Products - Misc. Discretionary
Sunoco LP,SUN,Oil Refining & Marketing MLP
SLR Senior Investment,SUNS,Finance - SBIC & Commercial
Sunworks,SUNW,Solar Equipment and Services
Superior Industries,SUP,Auto & Truck Original Equipment Manufacturers
Supernus Pharmaceuticals,SUPN,Medical - Generic Drugs
Grupo Supervielle S.A,SUPV,Banks - Foreign
Surface Oncology,SURF,Medical Products Manufacturing
Suzano S.A,SUZ,Paper & Paper Products
Spring Valley Acquisition,SV,Unclassified
Sinovac Biotech,SVA,Medical - Biomedical and Genetics
Starboard Value Acquisition,SVAC,Unclassified
Severn Bancorp Inc,SVBI,Banks - Northeast
Service Properties Trust,SVC,REIT - Other Equity Trusts
SVF Investment,SVFA,Unclassified
SVF Investment 2,SVFB,Unclassified
SVF Investment 3,SVFC,Unclassified
Silvercorp Metals,SVM,Mining - Miscellaneous
SVMK,SVMK,Internet Services
Seven Oaks Acquisition,SVOK,Unclassified
Savara,SVRA,Medical - Drug Manufacturing
Servotronics,SVT,Diversified Operations
Firsthand Technology Value Fund,SVVC,Finance - SBIC & Commercial
ShockWave Medical,SWAV,Medical Instruments Manufacturing
Smith & Wesson Brands,SWBI,Leisure & Recreation Products
Switchback II,SWBK,Unclassified
Switch,SWCH,Technology Services
Athlon Acquisition,SWET,Unclassified
SolarWinds,SWI,Internet Software
Sierra Wireless,SWIR,Wireless Equipment Manufacturers
Stanley Black & Decker,SWK,Machine Tools & Related Products
SWK Holdings,SWKH,Finance - Miscellaneous Services
Skyworks Solutions,SWKS,Semiconductors - Radio Frequency
Schweitzer-Mauduit,SWM,Tobacco Products
Southwestern Energy,SWN,Oil & Gas - US Exploration and Production
SpringWorks Therapeutics,SWTX,Medical - Biomedical and Genetics
Southwest Gas,SWX,Utility - Natural Gas Distribution
SunCoke Energy,SXC,Coal Mining and Production
Standex,SXI,General Industrial Machinery
Sensient Technologies,SXT,Chemicals - Specialty
China SXT Pharmaceuticals,SXTC,Medical - Drug Manufacturing
So-Young,SY,Medical Services
Stock Yards Bancorp,SYBT,Banks - Southeast
Synlogic,SYBX,Medical - Biomedical and Genetics
Synchrony Financial,SYF,Finance - Miscellaneous Services
Stryker,SYK,Medical Products Manufacturing
Sykes Enterprises,SYKE,Outsourcing Services
Synthetic Biologics,SYN,Medical - Biomedical and Genetics
Synaptics,SYNA,Semiconductors
Syneos Health,SYNH,Medical Information Systems
Synalloy,SYNL,Steel - Pipe & Tubes
Sypris Solutions,SYPR,Electrical - Misc Services
Syros Pharmaceuticals,SYRS,Medical - Biomedical and Genetics
Syngenta AG,SYT,Agricultural Products
Siyata Mobile,SYTA,Wireless - National Providers
Systemax,SYX,Industrial Services
Sysco,SYY,Food Items - Miscellaneous/Diversified
AT&T,T,Wireless - National Providers
TravelCenters Of America LLC,TA,Retail - Convenience Stores
TransAlta,TAC,Utility - Electric Power Distribution
Trepont Acquisition Corp I,TACA,Unclassified
Del Taco Restaurants,TACO,Retail - Food & Restaurants
TransAct Technologies,TACT,Computer - Peripherals
Taitron Components,TAIT,Retail - Consumer Electronics
Takeda Pharmaceutical,TAK,Medical - Drug Manufacturing
TAL Education Group,TAL,Schools
Stone Energy,TALO,Oil & Gas - US Exploration and Production
Tantech Holdings,TANH,Chemicals - Diversified
Taoping,TAOP,Internet Services
Molson Coors Beverage,TAP,Alcoholic Beverages
Protara Therapeutics,TARA,Medical - Drug Manufacturing
Taro Pharmaceutical Industries,TARO,Medical - Drug Manufacturing
Tarsus Pharmaceuticals,TARS,Medical - Biomedical and Genetics
Carrols Restaurant,TAST,Retail - Food & Restaurants
TAT Technologies,TATT,Aerospace and Defense Equipment
Taylor Devices,TAYD,General Industrial Machinery
Thoma Bravo Advantage,TBA,Unclassified
Bancorp,TBBK,Banks - Northeast
Thunder Bridge Capital Partners III,TBCP,Unclassified
TrueBlue,TBI,Staffing Services
