ticker,name,industry,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check Revenue GR,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
LOGI,Logitech S.A,Computer - Peripherals,2020-03-01,10,113.45,45.74,118.71,12.44,20.7,5.48,4.83,0.86,0.76,55.03,33.74,0.01,0.01,14.03,33.69,23.86,21.32,22.14,1.74,9.0,4.58,4.56,1.74,1.49,1.76,2.17,1.49,36.3,10.24,7.08,4.23,117.3,21.35,0.0,28.97,113.47,22.14,0,0,0,1,5+6+8+9+10,8,3+5+6+7+8+9+10,+,2363,2976,0.73,2.66,157,425
MA,Mastercard,Financial Transaction Services,2020-12-01,10,386.17,244.1,389.5,6.43,60.62,6.37,1.65,2.04,0.53,104.38,104.38,1.88,1.88,25.17,60.53,42.85,32.59,13.72,3.29,0.81,2.49,2.72,3.29,0.49,0.52,0.56,0.49,15.1,6.98,9.62,10.7,10.98,13.26,0.0,20.4,13.72,16.32,0,1,0,1,1,+,1+4,+,6714,15301,1.48,6.37,2684,7224
MASI,Masimo,Medical Instruments Manufacturing,2020-12-01,10,245.74,194.3,284.86,25.59,59.36,4.14,1.68,0.0,0.0,18.66,18.66,0.02,0.02,12.06,64.83,38.44,30.24,13.09,4.14,1.99,2.31,3.65,4.14,0.0,0.0,0.0,0.0,0.0,12.74,12.66,10.93,23.6,12.57,0.0,20.6,21.71,13.09,1,1,0,1,+,+,2+4+8+10,+,439,1144,1.05,4.14,79,211
MCD,McDonald's,Retail - Food & Restaurants,2020-12-01,10,233.08,167.85,234.26,-10.49,36.94,6.31,2.71,5.04,2.16,0.0,0.0,0.0,0.0,19.48,36.94,28.21,20.52,3.26,5.28,1.46,3.85,4.11,5.28,3.18,2.44,2.6,3.18,61.39,-5.58,-5.45,-2.23,0.87,-0.45,0.0,-0.32,5.62,3.26,0,1,0,1,1+3+4+5+6+7,+,1+6+7,+,27006,19207,5.27,6.31,7150,6265
MSFT,Microsoft,Computer Software,2020-06-01,10,260.74,166.11,261.0,17.27,38.86,6.71,2.57,2.09,0.8,42.7,40.14,0.49,0.57,23.0,56.22,39.61,22.67,10.62,5.97,3.08,2.97,3.86,5.97,2.42,1.36,1.87,2.42,52.9,16.72,8.85,8.63,29.43,8.97,0.0,28.57,31.23,10.62,0,1,0,1,5,+,3+6+9,+,69943,143015,2.69,5.76,26994,60675
MRNA,Moderna,Medical - Biomedical and Genetics,2020-12-01,5,170.81,43.11,189.26,6.39,-87.15,-1.96,-1.15,0.0,0.0,-39.99,-39.99,0.08,0.08,0.0,0.0,0.0,,0.0,-4.9,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2+3+5,1+2+3+4+5,1+2+3+4+5,2+3+4,108,803,-0.78,-1.96,67,2027
NFLX,Netflix,Broadcasting - Radio & TV,2020-12-01,10,546.54,393.6,593.29,24.98,89.89,6.08,1.11,0.0,0.0,29.62,29.62,1.43,1.43,76.01,402.32,239.16,173.29,30.55,1.27,1.61,1.13,0.88,1.27,0.0,0.0,0.0,0.0,0.0,28.82,29.82,27.73,86.42,32.88,0.0,69.43,85.08,30.55,1,1,0,0,+,+,6+9,2+3+4+5+6,3205,24996,0.59,6.08,318,2427
NKE,NIKE,Shoes & Related Apparel,2020-05-01,10,134.31,84.11,147.95,7.55,63.06,2.13,1.59,1.04,0.77,32.69,29.7,1.04,1.53,20.22,76.66,48.44,30.56,5.19,3.92,1.31,2.2,3.14,3.92,1.27,1.07,1.16,1.27,34.19,2.88,4.1,7.0,-4.95,2.91,0.0,-13.94,-2.86,5.19,0,1,0,1,1,+,1+3,+,20862,37403,1.1,1.6,1812,2485
NTDOY,,,2020-03-01,10,74.85,50.43,82.55,16.73,0.16,460.57,615.32,205.16,274.09,27.14,17.53,0.0,0.0,0.0,1.94,0.97,0.6,1.96,199.08,251.76,462.29,370.29,199.08,146.32,232.98,199.26,146.32,39.72,38.82,18.94,-0.91,43.95,1.24,0.0,36.49,43.77,1.96,0,0,0,0,4+5+6+7+8+9+10,7+9,5+6+7+8+9+10,7+8+9,1014345,1308519,75.87,271.4,78103,347753
NVAX,Novavax,Medical - Biomedical and Genetics,2020-12-01,10,227.35,16.41,331.68,8.49,-31.27,-7.27,-3.2,0.0,0.0,-189.6,-189.6,0.58,0.58,0.0,0.0,0.0,,0.0,-34.91,41.78,-57.37,-60.9,-34.91,0.0,0.0,0.0,0.0,0.0,148.01,67.33,106.16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2+5+8,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,15,476,-3.4,-7.27,-24,-43
