date,price,eps,pe,ticker
2019-12-31,67.8,$2.67,25.39,TER
2019-09-30,57.49,$2.71,21.22,TER
2019-06-30,47.48,$2.59,18.33,TER
2019-03-31,39.4,$2.56,15.39,TER
2018-12-31,30.97,$2.37,13.07,TER
2018-09-30,36.4,$1.04,35.0,TER
2018-06-30,37.39,$0.93,40.21,TER
2018-03-31,44.79,$1.28,35.0,TER
2017-12-31,40.95,$1.27,32.24,TER
2017-09-30,36.41,$2.14,17.01,TER
2017-06-30,29.26,$1.93,15.16,TER
2017-03-31,30.25,$-0.04,0.0,TER
2016-12-31,24.64,$-0.22,0.0,TER
2016-09-30,20.89,$-0.55,0.0,TER
2016-06-30,19.0,$-0.52,0.0,TER
2016-03-31,20.78,$1.06,19.6,TER
2015-12-31,19.83,$0.97,20.44,TER
2021-04-16,739.78,$0.63,1181.76,TSLA
2020-12-31,705.67,$0.63,1127.27,TSLA
2020-09-30,429.01,$0.50,861.47,TSLA
2020-06-30,215.96,$0.38,562.4,TSLA
2020-03-31,104.8,$-0.18,0.0,TSLA
2019-12-31,83.67,$-1.01,0.0,TSLA
2019-09-30,48.17,$-0.97,0.0,TSLA
2019-06-30,44.69,$-0.78,0.0,TSLA
2019-03-31,55.97,$-1.16,0.0,TSLA
2018-12-31,66.56,$-1.18,0.0,TSLA
2018-09-30,52.95,$-2.13,0.0,TSLA
2018-06-30,68.59,$-3.22,0.0,TSLA
2018-03-31,53.23,$-2.79,0.0,TSLA
2017-12-31,62.27,$-2.36,0.0,TSLA
2017-09-30,68.22,$-1.71,0.0,TSLA
2017-06-30,72.32,$-0.94,0.0,TSLA
2017-03-31,55.66,$-0.95,0.0,TSLA
2016-12-31,42.74,$-0.97,0.0,TSLA
2016-09-30,40.81,$-1.30,0.0,TSLA
2016-06-30,42.46,$-1.69,0.0,TSLA
2016-03-31,45.95,$-1.56,0.0,TSLA
2015-12-31,48.0,$-1.38,0.0,TSLA
2021-04-16,718.86,$4.91,146.41,TTD
2020-12-31,801.0,$4.91,163.14,TTD
2020-09-30,518.78,$2.92,177.66,TTD
2020-06-30,406.5,$2.48,163.91,TTD
2020-03-31,193.0,$2.54,75.98,TTD
2019-12-31,259.78,$2.25,115.46,TTD
2019-09-30,187.55,$2.03,92.39,TTD
2019-06-30,227.78,$2.07,110.04,TTD
2019-03-31,197.95,$1.92,103.1,TTD
2018-12-31,116.06,$1.91,60.76,TTD
2018-09-30,150.91,$1.45,104.08,TTD
2018-06-30,93.8,$1.24,75.65,TTD
2018-03-31,49.62,$1.24,40.02,TTD
2017-12-31,45.73,$1.15,39.77,TTD
2017-09-30,61.51,$1.01,60.9,TTD
2017-06-30,50.11,$0.84,59.65,TTD
2021-04-16,178.8,$4.27,41.87,TTWO
2020-12-31,207.79,$4.27,48.66,TTWO
2020-09-30,165.22,$4.13,40.0,TTWO
2020-06-30,139.57,$3.90,35.79,TTWO
2020-03-31,118.61,$3.54,33.51,TTWO
2019-12-31,122.43,$2.97,41.22,TTWO
2019-09-30,125.34,$3.11,40.3,TTWO
2019-06-30,113.53,$2.70,42.05,TTWO
2019-03-31,94.37,$2.91,32.43,TTWO
2018-12-31,102.94,$3.18,32.37,TTWO
2018-09-30,137.99,$1.82,75.82,TTWO
2018-06-30,118.36,$1.57,75.39,TTWO
2018-03-31,97.78,$1.46,66.97,TTWO
2017-12-31,109.78,$1.58,69.48,TTWO
2017-09-30,102.23,$1.04,98.3,TTWO
2017-06-30,73.38,$1.46,50.26,TTWO
2017-03-31,59.27,$0.49,120.96,TTWO
2016-12-31,49.29,$0.08,616.13,TTWO
2016-09-30,45.08,$-0.10,0.0,TTWO
2016-06-30,37.92,$0.06,632.0,TTWO
2016-03-31,37.67,$-0.29,0.0,TTWO
2015-12-31,34.84,$-3.76,0.0,TTWO
2015-09-30,28.73,$-2.83,0.0,TTWO
2015-06-30,27.57,$-3.89,0.0,TTWO
2015-03-31,25.46,$-3.53,0.0,TTWO
2021-04-16,70.12,$-1.26,0.0,TWTR
2020-12-31,54.15,$-1.26,0.0,TWTR
2020-09-30,44.5,$-1.38,0.0,TWTR
2020-06-30,29.79,$-1.37,0.0,TWTR
2020-03-31,24.56,$1.62,15.16,TWTR
2019-12-31,32.05,$1.88,17.05,TWTR
2019-09-30,41.2,$2.06,20.0,TWTR
2019-06-30,34.9,$3.03,11.52,TWTR
2019-03-31,32.88,$1.73,19.01,TWTR
2018-12-31,28.74,$1.56,18.42,TWTR
2018-09-30,28.46,$1.35,21.08,TWTR
2018-06-30,43.67,$0.30,145.57,TWTR
2018-03-31,29.01,$0.01,0.0,TWTR
2017-12-31,24.01,$-0.16,0.0,TWTR
2017-09-30,16.87,$-0.51,0.0,TWTR
2017-06-30,17.87,$-0.63,0.0,TWTR
2017-03-31,14.95,$-0.62,0.0,TWTR
2016-12-31,16.3,$-0.65,0.0,TWTR
2016-09-30,23.05,$-0.55,0.0,TWTR
2016-06-30,16.91,$-0.60,0.0,TWTR
2016-03-31,16.55,$-0.66,0.0,TWTR
2015-12-31,23.14,$-0.79,0.0,TWTR
2021-04-16,60.35,$-3.88,0.0,UBER
2020-12-31,51.0,$-3.88,0.0,UBER
2020-09-30,36.48,$-3.98,0.0,UBER
2020-06-30,31.08,$-4.04,0.0,UBER
2020-03-31,27.92,$-7.74,0.0,UBER
2021-04-16,49.01,$-0.19,0.0,UPWK
2020-12-31,34.52,$-0.19,0.0,UPWK
2020-09-30,17.44,$-0.25,0.0,UPWK
2020-06-30,14.44,$-0.26,0.0,UPWK
2020-03-31,6.45,$-0.19,0.0,UPWK
2019-12-31,10.67,$-0.14,0.0,UPWK
2019-09-30,13.31,$-0.14,0.0,UPWK
2021-04-16,226.41,$4.84,46.78,V
2020-12-31,218.4,$4.84,45.12,V
2020-09-30,199.36,$4.88,40.85,V
2020-06-30,192.29,$5.25,36.63,V
2020-03-31,160.11,$5.55,28.85,V
2019-12-31,186.46,$5.48,34.03,V
